,start_time,end_time,data_source,regressor_name,num_samples,num_skipped,reaction_count_mean,reaction_count_stdev,feature_generator,num_features,error
0,Tue May 23 14:38:38 2017,Tue May 23 14:42:21 2017,foxnews+nytimes+theguardian,Ridge,14582,309,5573.97622725136,16507.198274998085,text_tfidf_bow_1000,1000,0.097898300694574
0,Tue May 23 15:57:15 2017,Tue May 23 15:57:19 2017,bild+spiegelonline+ihre.sz,Ridge,19921,1656,941.8332947119618,2648.9823406212618,title_emolex,10,0.13395906016394887
0,Tue May 23 15:57:16 2017,Tue May 23 15:57:48 2017,foxnews+nytimes+theguardian,Baseline,14582,309,5573.97622725136,16507.198274998085,title_tfidf_bow_1000,1000,0.1182658707235916
0,Tue May 23 16:27:35 2017,Tue May 23 16:28:09 2017,foxnews+nytimes+theguardian,Ridge,14582,309,5573.97622725136,16507.198274998085,title_tfidf_bow_1000,1000,0.10647484091608134
0,Tue May 23 15:57:15 2017,Tue May 23 15:57:56 2017,bild+spiegelonline+ihre.sz,Ridge,19921,1656,941.8332947119618,2648.9823406212618,message_pos,17,0.13237593249592133
0,Tue May 23 15:57:15 2017,Tue May 23 16:02:14 2017,bild+spiegelonline+ihre.sz,Ridge,19921,1656,941.8332947119618,2648.9823406212618,text_tfidf_bow_1000,1000,0.10625414403885064
0,Tue May 23 14:38:35 2017,Tue May 23 14:42:56 2017,foxnews+nytimes+theguardian,Ridge,14582,309,5573.97622725136,16507.198274998085,text_pos,16,0.11228323455650016
0,Tue May 23 15:57:15 2017,Tue May 23 16:06:12 2017,bild+spiegelonline+ihre.sz,Ridge,19921,1656,941.8332947119618,2648.9823406212618,text_readability,9,0.1315117835590036
0,Tue May 23 15:37:23 2017,Tue May 23 15:37:57 2017,foxnews+nytimes+theguardian,Ridge,14582,309,5573.97622725136,16507.198274998085,message_readability,9,0.1165243228091265
0,Tue May 23 15:57:15 2017,Tue May 23 15:57:51 2017,bild+spiegelonline+ihre.sz,Ridge,19921,1656,941.8332947119618,2648.9823406212618,title_pos,17,0.13137932877910027
0,Tue May 23 15:57:17 2017,Tue May 23 15:58:30 2017,bild+spiegelonline+ihre.sz,Ridge,19921,1656,941.8332947119618,2648.9823406212618,text_emolex,10,0.13090653168220354
0,Tue May 23 16:27:35 2017,Tue May 23 16:27:45 2017,foxnews+nytimes+theguardian,Ridge,14582,309,5573.97622725136,16507.198274998085,title_glove,300,0.10820825853492567
0,Tue May 23 15:29:08 2017,Tue May 23 15:29:27 2017,foxnews+nytimes+theguardian,Ridge,14582,309,5573.97622725136,16507.198274998085,message_glove,300,0.11030462726635576
0,Tue May 23 15:57:15 2017,Tue May 23 16:05:51 2017,bild+spiegelonline+ihre.sz,Ridge,19921,1656,941.8332947119618,2648.9823406212618,text_depechemood,8,0.1336506624496289
0,Tue May 23 14:38:35 2017,Tue May 23 14:44:49 2017,foxnews+nytimes+theguardian,Ridge,14582,309,5573.97622725136,16507.198274998085,text_glove,300,0.10183471477403812
0,Tue May 23 16:11:50 2017,Tue May 23 16:12:53 2017,bild+spiegelonline+ihre.sz,Ridge,19921,1656,941.8332947119618,2648.9823406212618,message_readability,9,0.13323609569402606
0,Tue May 23 15:57:15 2017,Tue May 23 15:58:11 2017,bild+spiegelonline+ihre.sz,Ridge,19921,1656,941.8332947119618,2648.9823406212618,message_depechemood,8,0.1343180157608177
