ANGRY,HAHA,LIKE,LOVE,SAD,WOW
0.45033081972,0.0854573145518,0.416016542594,0.00866016040986,0.00124059743849,0.0610437952748
0.0777100920778,0.0913007436987,0.0655410354838,0.148261708277,0.0490118526817,0.0042199446971
0.220852825962,0.0581387416294,0.154655088071,0.0451052419088,0.0368338516653,0.000212393982739
0.153890438137,0.320240400546,0.456813476011,0.0416722467358,0.00126865080839,0.0256235348721
0.114596692541,0.100493913661,0.178366739286,0.0484762142736,0.0108744568717,0.000877890485302
0.167948053008,0.427880003428,0.578113675118,0.0231271093725,0.00548738513043,7.46570765915e-05
0.101628817036,0.0117690420157,0.0246497131549,0.0616529900546,0.0793169992141,0.00292241706228
0.0657407000513,0.0725974167328,0.153328677687,0.0700522581825,0.0745636932956,0.0104791257902
0.160188471359,0.540620178274,0.60728292668,0.0257014683699,0.0719315686846,0.00410731410099
0.114953560064,0.0501812127124,0.00982704745743,0.0771614751839,0.00693545712166,0.0152807181683
0.404567490592,0.0712396103596,0.417062394971,0.0223705095698,0.125692276735,0.0195872524268
0.162388505249,0.238012328636,0.0757868183613,0.0123104805066,0.000885252701209,0.0112622328314
0.0894878046002,0.0346311420782,0.0624214453396,0.0606535677766,0.00977789595785,0.00873396239562
0.0890127005685,0.0611900515588,0.146024248249,0.0457753538095,0.0688330593788,0.0272362094477
0.0441212208529,0.0816146259141,0.0735641202872,0.133747198346,0.0390522192039,0.0425232526625
0.00482402170166,0.00897511738182,0.0147715166189,0.0407513324458,0.0440375362494,0.0139066247423
0.256091572425,0.0457815232216,0.209993453708,0.0326014310885,0.00577661260645,0.0265082229864
0.0173761766421,0.0256199984944,0.405944744136,0.0176798194939,0.476604999535,0.00998426076826
0.628452529768,0.0596638474636,0.57037340174,0.0260738195159,0.0392893510424,0.0116308120917
0.0920896662804,0.038966028511,0.193178008467,0.011120693997,0.0588175283935,0.014425479279
0.239556625897,0.0215006393913,0.28064666015,0.053982583222,0.0411119258923,0.0324600521914
0.394518938356,0.139932005031,0.509220457396,0.0150376864534,0.0113081207787,0.00111532123999
0.0543226656595,0.315451226644,0.325906784521,0.0291990997712,0.0101112540639,0.00455675394736
0.235191762808,0.287225496927,0.0178975918529,0.0147299409527,0.0207301254254,0.0281359577934
0.0585997741186,0.057946663787,0.0536000947499,0.0136647332848,0.165559158383,0.0182521075576
0.0811813837951,0.0522211963014,0.249470393898,0.0428781140339,0.375911882998,0.035917023038
0.0576149981166,0.0495824664398,0.0119852745127,0.0145973671378,0.00372075521535,0.0843355781212
0.141513184296,0.440609312258,0.480051950062,0.0144216948462,0.051326404823,0.0363224468222
0.0641429626783,0.0647730201702,0.100071677627,0.0346275453845,0.019550672707,0.0137674325439
0.0182312180499,0.174260872937,0.139635536005,0.00725072218399,0.0086913013153,0.0178346980138
0.183158559757,0.0959316024708,0.29183633887,0.0428249117594,0.0310454506104,0.0245256377903
0.296136580832,0.0513556374735,0.323998685433,0.0171088342613,0.0251115205376,0.0187268219264
0.056716719968,0.0696961741019,0.0957454695843,0.0422329820985,0.00474720120242,0.00681835641042
0.0590004367003,0.0378534596581,0.0626400906349,0.0292849125734,0.0125307258587,0.201309625425
0.0457115231799,0.0808227877992,0.112924085311,0.0967587712048,0.0558696693452,0.027278876192
0.300105412573,0.0316827862271,0.350567193804,0.0254768508857,0.107068260047,0.000553158296726
0.0114548245899,0.0549211271371,0.010628630322,0.100155547196,0.0126010540337,0.0318071717574
0.0910491328262,0.445976822832,0.549523171219,0.0125290359169,0.0544319841629,0.0294057326845
0.049252874578,0.0748536817424,0.141708213618,0.0468587496851,0.040537869859,0.0239225371236
0.0595318523119,0.127370439562,0.0380257676189,0.0237197080541,0.0341428914052,0.0193896362805
0.140697222778,0.0956212548479,0.364724263086,0.0044931630407,0.427784452754,0.177751450998
0.109763305794,0.0966444825875,0.129082866538,0.134727964868,0.0425479875704,0.0148550554545
0.107717757133,0.0932783512317,0.0602358932287,0.00130200059246,0.0241405581767,0.0229579297433
0.0440974012671,0.166187412424,0.0777805130788,0.00978411169378,0.015029697619,0.0390639121527
0.272962098475,0.00070400877166,0.305031892827,0.0115181255523,0.0661927595483,0.0233088484158
0.195868293918,0.103982143951,0.317438531356,0.040648883551,0.0407872506303,0.0174497264075
0.187894410605,0.0206129747648,0.191161605158,0.0250043399649,0.0333368125514,0.0155476967312
0.112542099574,0.0652139227527,0.218183674037,0.0411005743004,0.0478850871922,0.0336431388186
0.0620789407837,0.0438421106951,0.0431668258501,0.0282899147019,0.0215072578571,0.0317126526063
0.0201279716536,0.000562072565503,0.0211861654535,0.00985629043745,0.00298247995136,0.00525354412063
0.183590270046,0.247632060028,0.0116659378538,0.0268215353947,0.0742956970724,0.00490169045089
0.0053572180161,0.0993563303573,0.0623156264894,0.0563081778134,0.0136903597854,0.0109343321763
0.459567787758,0.0521915800002,0.536116600609,0.0320249548267,0.0526692337593,0.00371295391779
0.00433307064872,0.0999025951917,0.0930543907973,0.0309161272116,0.0053054439548,0.0337064374207
0.103388860509,0.0890090552004,0.195652201228,0.0443209716417,0.0166524512571,0.030922805903
0.067741839161,0.0209385933497,0.154499773038,0.107346118299,0.124304228464,0.0488612303621
0.168719838599,0.0911561505262,0.242732015438,0.0485469341125,0.010575775582,0.0208271848431
0.00148779506607,0.000575265738401,0.268249939376,0.00291301886197,0.177511380269,0.0945641072968
0.0997723099089,0.0103236393771,0.0740553390804,0.0371316414735,0.000222901498134,0.0215154085239
0.487166715621,0.0599047556016,0.46300141989,0.0183778612249,0.0528805723755,0.00123674871932
