,start_time,end_time,data_source,regressor_name,num_samples,num_skipped,reaction_count_mean,reaction_count_stdev,feature_generator,num_features,error
0,Mon May 29 00:53:51 2017,Mon May 29 01:05:29 2017,bild+spiegelonline+ihre.sz,Ridge,19921,1656,941.8332947119618,2648.9823406212618,all_bow_and_glove,3900,0.10650851631923287
0,Mon May 29 00:23:47 2017,Mon May 29 00:31:52 2017,bild+spiegelonline+ihre.sz,Ridge,19921,1656,941.8332947119618,2648.9823406212618,all_bow,3000,0.10621788164996432
0,Mon May 29 00:23:47 2017,Mon May 29 00:28:32 2017,bild+spiegelonline+ihre.sz,Ridge,19921,1656,941.8332947119618,2648.9823406212618,all_glove,900,0.11339220112966635
0,Mon May 29 00:23:47 2017,Mon May 29 00:24:25 2017,bild+spiegelonline+ihre.sz,Ridge,19921,1656,941.8332947119618,2648.9823406212618,message_glove,300,0.12564156540598434
0,Mon May 29 00:23:47 2017,Mon May 29 00:24:49 2017,bild+spiegelonline+ihre.sz,Ridge,19921,1656,941.8332947119618,2648.9823406212618,message_tfidf_bow_1000,1000,0.12209059568917242
0,Mon May 29 00:23:47 2017,Mon May 29 00:36:47 2017,bild+spiegelonline+ihre.sz,Ridge,19921,1656,941.8332947119618,2648.9823406212618,text_bow_and_text_depechemood,1008,0.10601385790161563
0,Mon May 29 00:23:47 2017,Mon May 29 00:41:25 2017,bild+spiegelonline+ihre.sz,Ridge,19921,1656,941.8332947119618,2648.9823406212618,text_bow_and_text_glove_and_title_bow_and_text_depechemood,2308,0.10437634838189157
0,Mon May 29 00:23:48 2017,Mon May 29 00:33:27 2017,bild+spiegelonline+ihre.sz,Ridge,19921,1656,941.8332947119618,2648.9823406212618,text_bow_and_text_glove_and_title_bow,2300,0.10421382525502884
0,Mon May 29 00:23:47 2017,Mon May 29 00:32:56 2017,bild+spiegelonline+ihre.sz,Ridge,19921,1656,941.8332947119618,2648.9823406212618,text_bow_and_text_glove,1300,0.10533934189409093
0,Mon May 29 00:23:47 2017,Mon May 29 00:32:38 2017,bild+spiegelonline+ihre.sz,Ridge,19921,1656,941.8332947119618,2648.9823406212618,text_depechemood,8,0.1336506624496289
0,Mon May 29 00:23:47 2017,Mon May 29 00:27:31 2017,bild+spiegelonline+ihre.sz,Ridge,19921,1656,941.8332947119618,2648.9823406212618,text_glove,300,0.1154015981933716
0,Mon May 29 00:23:47 2017,Mon May 29 00:28:55 2017,bild+spiegelonline+ihre.sz,Ridge,19921,1656,941.8332947119618,2648.9823406212618,text_tfidf_bow_1000,1000,0.1060391526441604
