start_time,end_time,data_source,num_samples,num_skipped,reaction_count_mean,reaction_count_stdev,feature_generator,num_features,Ridge_error,Ridge_stdev,KernelRidgelinear_error,KernelRidgelinear_stdev,KernelRidgerbf_error,KernelRidgerbf_stdev,KernelRidgepoly_error,KernelRidgepoly_stdev,KernelRidgesigmoid_error,KernelRidgesigmoid_stdev,BayesianRidge_error,BayesianRidge_stdev,DecisionTreeRegressor_error,DecisionTreeRegressor_stdev,RandomForestRegressor_error,RandomForestRegressor_stdev,ExtraTreesRegressor_error,ExtraTreesRegressor_stdev,GradientBoostingRegressor_error,GradientBoostingRegressor_stdev,KNeighborsRegressor_error,KNeighborsRegressor_stdev,MultiTaskLasso_error,MultiTaskLasso_stdev,MultiTaskElasticNet_error,MultiTaskElasticNet_stdev,NuSVRlinear_error,NuSVRlinear_stdev,NuSVRrbf_error,NuSVRrbf_stdev,NuSVRpoly_error,NuSVRpoly_stdev,NuSVRsigmoid_error,NuSVRsigmoid_stdev
Sat Mar 11 18:29:31 2017,Sat Mar 11 20:59:42 2017,bild+spiegelonline+ihre.sz,19921,1656,941.8332947119618,2648.9823406212618,100,100,0.114943495574,0.00563027495246,0.1423441142,0.0118569101936,0.122116916974,0.007856779668,0.120200586828,0.00750887011781,0.129858663573,0.00886295386767,0.11505699403,0.00549399819676,0.164721017042,0.00390736315765,0.11988815527,0.00525332300639,0.118201451458,0.00518024661831,0.11424346899,0.00599218397579,0.116075962171,0.00611577800898,0.135514412607,0.00940086540226,0.135514412607,0.00940086540226,0.118496793154,0.00752522338459,0.121209622662,0.00883056310619,0.137540920469,0.0113775000615,0.12352785108,0.00944984812515
Sat Mar 11 20:59:44 2017,Sun Mar 12 01:39:37 2017,bild+spiegelonline+ihre.sz,19921,1656,941.8332947119618,2648.9823406212618,250,250,0.111625664631,0.00542870349807,0.137841082507,0.0118910741247,0.12656115319,0.00851136983701,0.124301689505,0.00823070404527,0.132747929714,0.00915119345988,0.111763663138,0.00532006430062,0.16569825929,0.00436201005052,0.120921181057,0.00543884813255,0.119424977231,0.0059322380221,0.113997722533,0.00610880725523,0.115090387313,0.00698279952608,0.135514412607,0.00940086540226,0.135514412607,0.00940086540226,0.114834705801,0.00708304342614,0.123327066768,0.00957834193234,0.137541252927,0.0113826372216,0.126987007099,0.0102117514724
Sun Mar 12 01:39:39 2017,Sun Mar 12 09:58:32 2017,bild+spiegelonline+ihre.sz,19921,1656,941.8332947119618,2648.9823406212618,500,500,0.109646861567,0.00542784506296,0.13528173322,0.0114870623272,0.129850419882,0.00887909873257,0.127963291199,0.008681839573,0.134026464342,0.00926949127057,0.109712300637,0.00534532120056,0.165624995729,0.00382373688504,0.121334548721,0.00584380272281,0.119764089204,0.00612514692965,0.114111290141,0.00619338019733,0.115858300711,0.00769285157063,0.135514412607,0.00940086540226,0.135514412607,0.00940086540226,0.112672280255,0.00690992108448,0.126685529083,0.0101993071273,0.137551236214,0.0113835493485,0.130211023586,0.0106458604748
Sun Mar 12 09:58:34 2017,Mon Mar 13 02:43:59 2017,bild+spiegelonline+ihre.sz,19921,1656,941.8332947119618,2648.9823406212618,1000,1000,0.107917609629,0.00526155149701,0.133173734098,0.0111526946499,0.132257314831,0.00911316677268,0.130958652115,0.00899017914084,0.134741901074,0.00933274096445,0.107941511106,0.00520760598477,0.165084147399,0.00467439492775,0.121754575761,0.00619743221368,0.120593595435,0.00636418929254,0.114195156908,0.00625448277029,0.117456086114,0.00844802551698,0.135514412607,0.00940086540226,0.135514412607,0.00940086540226,0.11078455181,0.00673483144668,0.130127633011,0.0106549479553,0.137553307345,0.011384878144,0.132948846398,0.0109754359611
Tue Mar 14 20:24:35 2017,Tue Mar 14 21:28:35 2017,foxnews+nytimes+theguardian,14582,309,5573.97622725136,16507.198274998085,100,100,0.102380216227,0.0232951172957,0.126916161475,0.0149744183834,0.106895710818,0.0242984357548,0.105533584418,0.02426446391,0.112706040208,0.0241064217436,0.102461039308,0.0232395702328,0.149329259865,0.0223433593632,0.109095703976,0.0221326347721,0.107852804455,0.0219594664398,0.102624486395,0.0230836565118,0.106855694417,0.0230871850551,0.117860618807,0.0236242273347,0.117860618807,0.0236242273347,0.105264451908,0.026655436671,0.107023448979,0.0271087180722,0.119213099336,0.0269057290665,0.108697789251,0.0272263429886
Tue Mar 14 21:28:36 2017,Tue Mar 14 23:25:00 2017,foxnews+nytimes+theguardian,14582,309,5573.97622725136,16507.198274998085,250,250,0.100737152629,0.0235018847385,0.124502970014,0.0152015576424,0.110237225261,0.0242451232386,0.108602553481,0.0242922594854,0.1152009627,0.0239063329688,0.100781811088,0.0234854066599,0.150472083644,0.0228513787435,0.109963562879,0.0226533143067,0.108871662904,0.0225466986203,0.102483684812,0.0232148401419,0.107122118474,0.0245910977648,0.117860618807,0.0236242273347,0.117860618807,0.0236242273347,0.103297593746,0.026665147543,0.10864623844,0.027246530943,0.119222446423,0.0269209958032,0.111052832197,0.0272444547661
Tue Mar 14 23:25:02 2017,Wed Mar 15 02:52:54 2017,foxnews+nytimes+theguardian,14582,309,5573.97622725136,16507.198274998085,500,500,0.0997130420151,0.0233900320775,0.122407496234,0.0152846549764,0.112773210084,0.0241045415464,0.111311873364,0.0241869924317,0.116386800875,0.023786601931,0.0996857629136,0.0234086060084,0.151353980743,0.0225874648395,0.110325500918,0.0228697011815,0.108505505474,0.0230452584899,0.10249281268,0.0231260957444,0.108250729983,0.0266759429605,0.117860618807,0.0236242273347,0.117860618807,0.0236242273347,0.102260139656,0.0264606941257,0.110893095032,0.0272518809297,0.119218505165,0.0269085764329,0.113258726799,0.02724284647
Wed Mar 15 02:52:56 2017,Wed Mar 15 09:20:45 2017,foxnews+nytimes+theguardian,14582,309,5573.97622725136,16507.198274998085,1000,1000,0.0996507852858,0.0233850742029,0.121763532167,0.0155221828744,0.114786911445,0.0239477009267,0.113689232877,0.0240379488528,0.117082668126,0.023710429871,0.0993860348555,0.0234806623775,0.151875050466,0.022678362071,0.111409046758,0.0226605678075,0.109644809379,0.0228868387126,0.102826372479,0.0232694966801,0.11124744902,0.0295209982466,0.117860618807,0.0236242273347,0.117860618807,0.0236242273347,0.102398167528,0.0261188335054,0.113211246824,0.0272512107984,0.119220320905,0.0269148455886,0.115197454496,0.0271596493565
